school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
GP,F,1.0860891416379232,U,GT3,A,1.1310291463719242,1.3629249087774855,at_home,teacher,course,mother,0.9294743650324168,-0.05865464152543318,-0.41785512192219165,yes,no,no,no,yes,yes,no,no,0.03746233708930843,-0.2314708420953981,0.8602295261331186,-0.5317544912412248,-0.9988768212410546,-0.4051593561212629,0.030301813954315502,-1.841712135314279,-1.3363599473372378,-1.0404606623726758
GP,F,0.26825093257322163,U,GT3,T,-1.6411011143435759,-1.4556238455877186,at_home,other,course,father,-0.647688019072363,-0.05865464152543318,-0.41785512192219165,no,yes,no,no,no,yes,yes,no,1.2081603711301956,-0.2314708420953981,-0.06941333352082824,-0.5317544912412248,-0.9988768212410546,-0.4051593561212629,-0.21672384328195257,-1.841712135314279,-1.6109544570640675,-1.0404606623726758
GP,F,-1.3674254855561816,U,LE3,T,-1.6411011143435759,-1.4556238455877186,at_home,other,other,mother,-0.647688019072363,-0.05865464152543318,4.236471731171527,yes,no,yes,no,yes,yes,yes,no,0.03746233708930843,-0.2314708420953981,-0.9990561931747751,0.7303210417680112,0.6368384973851264,-0.4051593561212629,0.5243531284268517,-1.2297120903494099,-0.7871709278835786,-0.13728300406306151
GP,F,-1.3674254855561816,U,GT3,T,1.1310291463719242,-0.5161075941326506,health,services,home,mother,-0.647688019072363,1.1633170569210902,-0.41785512192219165,no,yes,yes,yes,yes,yes,yes,yes,-1.1332356969515789,-1.2648228157355672,-0.9990561931747751,-0.5317544912412248,-0.9988768212410546,1.0418383443118189,-0.4637495005182206,1.2182880895100658,0.8603961304773995,0.9916890688239565
GP,F,-0.54958727649148,U,GT3,T,0.20698572613342417,0.42340865732241745,other,other,home,father,-0.647688019072363,-0.05865464152543318,-0.41785512192219165,no,yes,yes,no,yes,yes,no,no,0.03746233708930843,-0.2314708420953981,-0.9990561931747751,-0.5317544912412248,-0.18101916192796408,1.0418383443118189,-0.21672384328195257,-1.5357121128318443,-0.23798190842991918,-0.13728300406306151
GP,M,-0.54958727649148,U,LE3,T,1.1310291463719242,0.42340865732241745,services,other,reputation,mother,-0.647688019072363,-0.05865464152543318,-0.41785512192219165,no,yes,yes,yes,yes,yes,yes,no,1.2081603711301956,0.801881131544771,-0.9990561931747751,-0.5317544912412248,-0.18101916192796408,1.0418383443118189,0.5243531284268517,1.2182880895100658,1.1349906402042291,0.9916890688239565
GP,M,-0.54958727649148,U,LE3,T,-0.7170576941050758,-0.5161075941326506,other,other,home,mother,-0.647688019072363,-0.05865464152543318,-0.41785512192219165,no,no,no,no,yes,yes,yes,no,0.03746233708930843,0.801881131544771,0.8602295261331186,-0.5317544912412248,-0.9988768212410546,-0.4051593561212629,-0.7107751577544887,0.30028802206276245,0.31120711102374016,0.08851141051434208
GP,F,0.26825093257322163,U,GT3,A,1.1310291463719242,1.3629249087774855,other,teacher,home,mother,0.9294743650324168,-0.05865464152543318,-0.41785512192219165,yes,yes,no,no,yes,yes,no,no,0.03746233708930843,-2.2981747893757363,0.8602295261331186,-0.5317544912412248,-0.9988768212410546,-1.8521570565543446,0.030301813954315502,-1.5357121128318443,-1.6109544570640675,-1.0404606623726758
GP,M,-1.3674254855561816,U,LE3,A,0.20698572613342417,-0.5161075941326506,services,other,home,mother,-0.647688019072363,-0.05865464152543318,-0.41785512192219165,no,yes,yes,no,yes,yes,yes,no,0.03746233708930843,-1.2648228157355672,-0.9990561931747751,-0.5317544912412248,-0.9988768212410546,-1.8521570565543446,-0.7107751577544887,1.5242881119925002,1.9587741693847183,1.8948667271335708
GP,M,-1.3674254855561816,U,GT3,T,0.20698572613342417,1.3629249087774855,other,other,home,mother,-0.647688019072363,-0.05865464152543318,-0.41785512192219165,no,yes,yes,yes,yes,yes,yes,no,1.2081603711301956,1.8352331051849402,-1.928699052828722,-0.5317544912412248,-0.9988768212410546,1.0418383443118189,-0.7107751577544887,0.9122880670276313,1.1349906402042291,0.9916890688239565
